# dataset: MUTAG
# type: GraphSAGE
# train_mode: S
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.723084;0.553333;0.779961;0.263158;0.735456;0.315789;0.615385;0.151579;0.235244;0.542156
1;0.641649;0.653333;0.735321;0.263158;0.705765;0.315789;0.653846;0.151579;0.203381;0.512607
2;0.579524;0.726667;0.694774;0.842105;0.680908;0.578947;0.602564;0.591479;0.062628;0.487776
3;0.603502;0.686667;0.653596;0.789474;0.656550;0.736842;0.641026;0.664080;0.199700;0.463630
4;0.549861;0.746667;0.617083;0.736842;0.633496;0.684211;0.679487;0.555921;0.118754;0.441197
5;0.542017;0.760000;0.588147;0.736842;0.614021;0.684211;0.679487;0.555921;0.142729;0.422670
6;0.558474;0.733333;0.554506;0.736842;0.593365;0.736842;0.705128;0.664080;0.124524;0.403678
7;0.506378;0.780000;0.521042;0.736842;0.574959;0.736842;0.730769;0.664080;0.096193;0.387489
8;0.541851;0.740000;0.482308;0.736842;0.556676;0.736842;0.743590;0.664080;0.053957;0.372690
9;0.573770;0.740000;0.442288;0.789474;0.548309;0.736842;0.730769;0.664080;0.022595;0.367134
10;0.545882;0.773333;0.415293;0.789474;0.547824;0.736842;0.730769;0.664080;0.074738;0.366334
11;0.507976;0.820000;0.391430;0.894737;0.550635;0.736842;0.730769;0.664080;0.079089;0.367605
12;0.534520;0.786667;0.370082;0.894737;0.552731;0.736842;0.743590;0.706594;0.076056;0.368826
13;0.509209;0.786667;0.358233;0.842105;0.565663;0.684211;0.730769;0.663910;0.104103;0.378437
14;0.546198;0.746667;0.350036;0.894737;0.579714;0.684211;0.730769;0.663910;0.116959;0.388951
15;0.507897;0.780000;0.344904;0.894737;0.584044;0.684211;0.730769;0.663910;0.124264;0.391496
16;0.546730;0.766667;0.334988;0.894737;0.582560;0.684211;0.717949;0.663910;0.118411;0.391030
17;0.483705;0.813333;0.323334;0.894737;0.576819;0.684211;0.666667;0.663910;0.100570;0.390188
18;0.525544;0.760000;0.309320;0.894737;0.584335;0.684211;0.666667;0.663910;0.102140;0.395753
19;0.487564;0.800000;0.309507;0.894737;0.575036;0.684211;0.730769;0.663910;0.105951;0.385147
20;0.479918;0.780000;0.311875;0.894737;0.570771;0.684211;0.730769;0.663910;0.101758;0.383129
21;0.532464;0.800000;0.318980;0.894737;0.562284;0.684211;0.705128;0.663910;0.104867;0.373033
22;0.499535;0.773333;0.334183;0.894737;0.552668;0.736842;0.705128;0.706594;0.046566;0.362712
23;0.500564;0.786667;0.343894;0.894737;0.545931;0.736842;0.717949;0.706594;0.074279;0.357796
24;0.501918;0.793333;0.359209;0.842105;0.550067;0.736842;0.705128;0.664080;0.054791;0.358355
25;0.464709;0.786667;0.352948;0.842105;0.554850;0.789474;0.717949;0.750877;0.099621;0.363652
