# dataset: MUTAG
# type: GraphSAGE
# train_mode: T
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.536774;0.700000;0.739996;0.263158;0.701364;0.473684;1.000000;0.304511;0.069315;0.508192
1;0.235771;1.000000;0.761134;0.263158;0.702732;0.473684;1.000000;0.304511;0.081860;0.509553
2;0.170397;1.000000;0.773467;0.263158;0.689590;0.473684;1.000000;0.304511;0.090947;0.496647
3;0.139471;1.000000;0.749385;0.263158;0.637488;0.473684;1.000000;0.304511;0.087128;0.445357
4;0.118819;1.000000;0.697094;0.263158;0.524820;1.000000;1.000000;1.000000;0.404758;0.336223
5;0.100153;1.000000;0.553921;1.000000;0.369363;1.000000;1.000000;1.000000;0.306919;0.193704
6;0.100881;1.000000;0.392957;1.000000;0.240268;1.000000;1.000000;1.000000;0.211869;0.095199
7;0.075946;1.000000;0.257244;1.000000;0.150799;1.000000;1.000000;1.000000;0.138686;0.042939
8;0.078464;1.000000;0.176817;1.000000;0.098294;1.000000;1.000000;1.000000;0.092469;0.021281
9;0.089055;1.000000;0.128920;1.000000;0.067886;1.000000;1.000000;1.000000;0.064737;0.011743
10;0.054121;1.000000;0.096806;1.000000;0.050538;1.000000;1.000000;1.000000;0.048647;0.007155
11;0.045615;1.000000;0.079268;1.000000;0.040881;1.000000;1.000000;1.000000;0.039576;0.004983
12;0.044270;1.000000;0.069208;1.000000;0.035115;1.000000;1.000000;1.000000;0.034111;0.003856
13;0.038017;1.000000;0.055373;1.000000;0.028685;1.000000;1.000000;1.000000;0.028015;0.002593
14;0.035451;1.000000;0.046485;1.000000;0.024307;1.000000;1.000000;1.000000;0.023822;0.001887
15;0.028949;1.000000;0.039721;1.000000;0.021179;1.000000;1.000000;1.000000;0.020811;0.001436
16;0.030629;1.000000;0.038036;1.000000;0.019882;1.000000;1.000000;1.000000;0.019549;0.001300
17;0.033518;1.000000;0.036163;1.000000;0.018471;1.000000;1.000000;1.000000;0.018178;0.001147
18;0.026305;1.000000;0.031022;1.000000;0.015977;1.000000;1.000000;1.000000;0.015761;0.000848
19;0.025097;1.000000;0.026738;1.000000;0.013916;1.000000;1.000000;1.000000;0.013753;0.000641
20;0.024980;1.000000;0.027183;1.000000;0.013924;1.000000;1.000000;1.000000;0.013757;0.000658
21;0.018537;1.000000;0.023857;1.000000;0.012332;1.000000;1.000000;1.000000;0.012203;0.000509
22;0.015246;1.000000;0.023306;1.000000;0.012076;1.000000;1.000000;1.000000;0.011951;0.000492
23;0.014454;1.000000;0.022118;1.000000;0.011450;1.000000;1.000000;1.000000;0.011339;0.000440
24;0.014495;1.000000;0.020223;1.000000;0.010553;1.000000;1.000000;1.000000;0.010458;0.000374
25;0.015928;1.000000;0.018807;1.000000;0.009826;1.000000;1.000000;1.000000;0.009744;0.000325
26;0.016428;1.000000;0.016887;1.000000;0.008916;1.000000;1.000000;1.000000;0.008849;0.000267
27;0.013740;1.000000;0.016229;1.000000;0.008536;1.000000;1.000000;1.000000;0.008475;0.000244
28;0.011882;1.000000;0.014006;1.000000;0.007465;1.000000;1.000000;1.000000;0.007419;0.000183
29;0.012340;1.000000;0.012540;1.000000;0.006719;1.000000;1.000000;1.000000;0.006682;0.000147
30;0.011532;1.000000;0.013307;1.000000;0.006889;1.000000;1.000000;1.000000;0.006849;0.000158
31;0.009184;1.000000;0.012877;1.000000;0.006709;1.000000;1.000000;1.000000;0.006671;0.000151
32;0.008046;1.000000;0.012089;1.000000;0.006337;1.000000;1.000000;1.000000;0.006303;0.000134
33;0.009011;1.000000;0.011579;1.000000;0.006013;1.000000;1.000000;1.000000;0.005982;0.000120
34;0.012066;1.000000;0.010267;1.000000;0.005412;1.000000;1.000000;1.000000;0.005387;0.000096
35;0.008084;1.000000;0.010098;1.000000;0.005248;1.000000;1.000000;1.000000;0.005225;0.000091
36;0.008435;1.000000;0.009048;1.000000;0.004748;1.000000;1.000000;1.000000;0.004729;0.000074
37;0.007002;1.000000;0.008564;1.000000;0.004564;1.000000;1.000000;1.000000;0.004547;0.000068
38;0.005923;1.000000;0.008412;1.000000;0.004489;1.000000;1.000000;1.000000;0.004473;0.000066
39;0.006472;1.000000;0.008185;1.000000;0.004343;1.000000;1.000000;1.000000;0.004327;0.000062
40;0.008596;1.000000;0.008192;1.000000;0.004317;1.000000;1.000000;1.000000;0.004302;0.000062
41;0.010282;1.000000;0.008311;1.000000;0.004240;1.000000;1.000000;1.000000;0.004225;0.000062
42;0.008827;1.000000;0.007142;1.000000;0.003763;1.000000;1.000000;1.000000;0.003751;0.000048
43;0.009120;1.000000;0.007352;1.000000;0.003818;1.000000;1.000000;1.000000;0.003805;0.000050
44;0.010041;1.000000;0.007362;1.000000;0.003770;1.000000;1.000000;1.000000;0.003757;0.000049
45;0.008341;1.000000;0.006146;1.000000;0.003239;1.000000;1.000000;1.000000;0.003230;0.000035
46;0.004712;1.000000;0.005774;1.000000;0.003085;1.000000;1.000000;1.000000;0.003077;0.000032
47;0.008536;1.000000;0.005004;1.000000;0.002671;1.000000;1.000000;1.000000;0.002665;0.000023
48;0.004175;1.000000;0.005208;1.000000;0.002755;1.000000;1.000000;1.000000;0.002749;0.000025
49;0.006055;1.000000;0.004747;1.000000;0.002527;1.000000;1.000000;1.000000;0.002522;0.000021
50;0.004717;1.000000;0.005166;1.000000;0.002687;1.000000;1.000000;1.000000;0.002681;0.000024
51;0.004740;1.000000;0.005258;1.000000;0.002678;1.000000;1.000000;1.000000;0.002672;0.000024
52;0.005465;1.000000;0.005094;1.000000;0.002560;1.000000;1.000000;1.000000;0.002555;0.000022
53;0.003191;1.000000;0.004773;1.000000;0.002434;1.000000;1.000000;1.000000;0.002429;0.000020
54;0.003996;1.000000;0.004922;1.000000;0.002479;1.000000;1.000000;1.000000;0.002474;0.000021
