# dataset: PROTEINS
# type: GraphSAGE
# train_mode: P
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.673106;0.592801;0.664552;0.669643;0.668479;0.678571;0.594310;0.642516;0.147036;0.476119
1;0.638932;0.660292;0.652600;0.651786;0.654128;0.669643;0.609062;0.589625;0.126160;0.462480
2;0.642881;0.634421;0.633746;0.660714;0.628903;0.669643;0.631191;0.615877;0.095263;0.440655
3;0.627899;0.660292;0.630974;0.651786;0.634070;0.678571;0.622761;0.642516;0.112457;0.445917
4;0.625978;0.681665;0.651449;0.696429;0.659987;0.642857;0.622410;0.637967;0.105565;0.469607
5;0.623804;0.676040;0.637425;0.669643;0.653701;0.633929;0.626976;0.638464;0.059449;0.467387
6;0.620219;0.688414;0.626906;0.678571;0.637885;0.651786;0.628030;0.635400;0.077495;0.450761
7;0.621319;0.665917;0.630847;0.678571;0.646960;0.625000;0.627678;0.627083;0.096824;0.460749
8;0.613863;0.685039;0.631987;0.687500;0.646461;0.642857;0.630839;0.644841;0.073953;0.460665
9;0.623318;0.673791;0.634764;0.678571;0.649962;0.625000;0.625220;0.627083;0.056159;0.463161
10;0.622163;0.663667;0.628463;0.651786;0.625918;0.705357;0.637162;0.657404;0.130536;0.438509
11;0.615724;0.671541;0.632244;0.669643;0.644626;0.616071;0.632947;0.614884;0.050638;0.457990
12;0.613619;0.692913;0.628418;0.687500;0.633160;0.633929;0.642431;0.624257;0.069713;0.447290
13;0.613674;0.671541;0.635629;0.678571;0.630967;0.687500;0.645592;0.643424;0.102526;0.443017
