# dataset: PROTEINS
# type: GraphSAGE
# train_mode: S
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.646137;0.681665;0.632607;0.732143;0.629955;0.669643;0.715218;0.598839;0.104705;0.432972
1;0.606459;0.703037;0.568242;0.750000;0.582383;0.767857;0.730333;0.751473;0.125802;0.387936
2;0.607151;0.705287;0.534848;0.767857;0.543530;0.750000;0.781175;0.747014;0.058934;0.359261
3;0.591782;0.707537;0.475987;0.776786;0.541907;0.750000;0.788045;0.743153;0.077222;0.356926
4;0.583223;0.722160;0.465865;0.803571;0.543398;0.794643;0.771900;0.781465;0.104785;0.351377
5;0.560922;0.727784;0.477162;0.767857;0.533061;0.741071;0.789419;0.732826;0.067296;0.353012
6;0.570820;0.731159;0.506468;0.758929;0.541703;0.758929;0.771556;0.753341;0.043139;0.359228
7;0.574684;0.724409;0.464668;0.794643;0.536049;0.758929;0.801786;0.736801;0.050788;0.349885
8;0.578835;0.721035;0.448401;0.776786;0.536560;0.776786;0.784954;0.765119;0.054321;0.346731
9;0.561463;0.735658;0.449632;0.830357;0.522430;0.758929;0.796977;0.753341;0.027585;0.342793
10;0.566441;0.724409;0.457167;0.830357;0.544987;0.732143;0.777740;0.722353;0.058126;0.359411
11;0.569372;0.706412;0.429320;0.830357;0.524367;0.776786;0.793885;0.769678;0.063234;0.339606
12;0.566692;0.727784;0.442210;0.803571;0.535247;0.776786;0.774648;0.774857;0.074887;0.357367
13;0.546692;0.740157;0.479447;0.767857;0.550755;0.750000;0.768464;0.745199;0.058105;0.359288
14;0.551426;0.726659;0.464671;0.794643;0.556116;0.741071;0.772243;0.732826;0.065952;0.369386
15;0.555106;0.731159;0.515732;0.776786;0.571569;0.741071;0.754036;0.740378;0.075572;0.386874
16;0.547474;0.728909;0.471077;0.812500;0.548503;0.741071;0.779114;0.730321;0.059162;0.368882
17;0.553911;0.728909;0.484842;0.785714;0.539942;0.741071;0.780144;0.738834;0.054230;0.364853
18;0.543652;0.737908;0.475447;0.785714;0.558335;0.741071;0.765716;0.737068;0.086878;0.378124
