# dataset: PROTEINS
# type: GraphSAGE
# train_mode: T
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.192280;0.958380;0.600734;0.705357;0.597251;0.580357;0.793781;0.426251;0.220126;0.408372
1;0.044110;1.000000;0.786812;0.589286;0.824213;0.580357;0.862520;0.426251;0.308252;0.577423
2;0.021361;1.000000;0.054918;1.000000;0.132254;0.892857;1.000000;0.889545;0.105091;0.089979
3;0.014964;1.000000;0.688676;0.705357;0.824142;0.580357;1.000000;0.426251;0.325251;0.552690
4;0.010545;1.000000;0.754373;0.705357;0.909787;0.580357;1.000000;0.426251;0.341456;0.589786
5;0.007387;1.000000;0.075894;1.000000;0.238055;0.892857;1.000000;0.889545;0.081495;0.172984
6;0.005572;1.000000;0.117786;1.000000;0.294731;0.892857;1.000000;0.889545;0.121970;0.197160
7;0.005319;1.000000;0.096529;1.000000;0.289020;0.892857;1.000000;0.889545;0.119025;0.193915
8;0.003536;1.000000;0.010980;1.000000;0.017513;1.000000;1.000000;1.000000;0.018852;0.002585
9;0.003339;1.000000;0.009043;1.000000;0.019416;1.000000;1.000000;1.000000;0.020651;0.004156
10;0.003004;1.000000;0.097495;1.000000;0.293377;0.892857;1.000000;0.889545;0.118228;0.194511
11;0.001809;1.000000;0.006366;1.000000;0.017407;1.000000;1.000000;1.000000;0.018513;0.003951
12;0.002646;1.000000;0.015160;1.000000;0.120008;0.892857;1.000000;0.889545;0.082170;0.105395
13;0.002316;1.000000;0.005767;1.000000;0.007006;1.000000;1.000000;1.000000;0.007751;0.000384
14;0.001469;1.000000;0.005417;1.000000;0.018056;1.000000;1.000000;1.000000;0.019101;0.004717
15;0.001321;1.000000;0.018558;1.000000;0.142554;0.892857;1.000000;0.889545;0.089494;0.124995
16;0.001349;1.000000;0.505965;0.705357;0.720504;0.714286;1.000000;0.668772;0.262120;0.396474
17;0.001823;1.000000;0.001866;1.000000;0.002236;1.000000;1.000000;1.000000;0.002486;0.000034
18;0.001331;1.000000;0.118839;0.883929;0.376017;0.892857;1.000000;0.889545;0.130906;0.213617
19;0.001009;1.000000;0.999789;0.705357;1.248948;0.580357;1.000000;0.426251;0.370036;0.664430
20;0.001150;1.000000;0.051086;1.000000;0.292842;0.892857;1.000000;0.889545;0.088230;0.194260
21;0.000892;1.000000;0.052043;1.000000;0.289109;0.892857;1.000000;0.889545;0.087599;0.193431
22;0.001154;1.000000;0.670492;0.705357;0.935754;0.714286;1.000000;0.668772;0.300668;0.484372
23;0.000677;1.000000;0.021141;1.000000;0.229791;0.892857;1.000000;0.889545;0.092553;0.177379
24;0.001082;1.000000;0.009762;1.000000;0.164269;0.892857;1.000000;0.889545;0.090941;0.144562
