# dataset: ogbg-molhiv
# type: GraphSAGE
# train_mode: P
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.168551;0.964773;0.158241;0.961828;0.137169;0.966448;0.000000;0.950197;0.007290;0.064095
1;0.148801;0.964955;0.158207;0.961828;0.135569;0.966691;0.000000;0.950319;0.007977;0.063710
2;0.147262;0.965016;0.157278;0.961828;0.134654;0.966691;0.000000;0.950319;0.003979;0.063627
3;0.146052;0.964925;0.159939;0.961828;0.136511;0.966448;0.000000;0.950197;0.012694;0.063939
4;0.146151;0.965016;0.154279;0.961828;0.134017;0.966691;0.000000;0.950319;0.010673;0.063312
5;0.144639;0.964955;0.156145;0.961828;0.134047;0.966691;0.000000;0.950319;0.007978;0.063509
6;0.144791;0.965016;0.152946;0.961828;0.132821;0.966691;0.000000;0.950319;0.005997;0.063051
7;0.144294;0.965047;0.150659;0.961828;0.133349;0.966691;0.000000;0.950319;0.010554;0.062815
8;0.144244;0.965016;0.151900;0.961828;0.136150;0.966691;0.000000;0.950319;0.015720;0.063288
9;0.143678;0.965047;0.152930;0.961828;0.132827;0.966691;0.000000;0.950319;0.006548;0.063131
10;0.142618;0.965016;0.154816;0.961828;0.133815;0.966691;0.000000;0.950319;0.010375;0.063385
11;0.143404;0.965047;0.151346;0.961828;0.131976;0.966691;0.000000;0.950319;0.007255;0.062842
12;0.142745;0.964986;0.152496;0.961828;0.132552;0.966691;0.000000;0.950319;0.007112;0.063046
13;0.142569;0.965047;0.166788;0.961828;0.141846;0.966691;0.000000;0.950319;0.020177;0.064330
14;0.142471;0.965047;0.152752;0.961828;0.132494;0.966691;0.000000;0.950319;0.008157;0.063027
