# dataset: ogbg-molhiv
# type: GraphSAGE
# train_mode: S
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.260738;0.904167;0.142023;0.964017;0.134855;0.965232;0.000000;0.948156;0.008290;0.065112
1;0.146701;0.964986;0.137781;0.964017;0.132140;0.965232;0.000000;0.948156;0.017549;0.063341
2;0.144800;0.964986;0.135739;0.964017;0.131897;0.965232;0.000000;0.948156;0.008290;0.063979
3;0.143335;0.964986;0.134969;0.964017;0.130425;0.965232;0.000000;0.948156;0.009865;0.063216
4;0.142039;0.965016;0.135620;0.964017;0.131790;0.965232;0.000000;0.948156;0.018627;0.062763
5;0.140412;0.964925;0.138918;0.963773;0.137355;0.964989;0.000000;0.948506;0.026072;0.064590
6;0.140378;0.964925;0.139081;0.964017;0.134175;0.965232;0.000000;0.948156;0.016611;0.063725
7;0.139073;0.964955;0.141766;0.964260;0.137912;0.965475;0.000000;0.949674;0.025385;0.065011
8;0.138562;0.964955;0.131678;0.963773;0.127992;0.965232;0.000000;0.948156;0.008662;0.062143
9;0.138792;0.965077;0.130533;0.964017;0.125967;0.965232;0.000000;0.948156;0.009884;0.061174
10;0.137720;0.965138;0.149063;0.964746;0.148021;0.965232;0.000000;0.949543;0.044707;0.067229
11;0.137628;0.964955;0.132064;0.964017;0.127504;0.965232;0.000000;0.948156;0.012775;0.061612
12;0.136212;0.965047;0.130632;0.964503;0.127966;0.965232;0.000000;0.949093;0.007790;0.061757
13;0.136293;0.964986;0.142564;0.964017;0.138566;0.965232;0.000000;0.948156;0.016804;0.065793
14;0.135477;0.965168;0.131506;0.964017;0.128166;0.965232;0.000000;0.948156;0.011838;0.062455
15;0.135519;0.964925;0.131436;0.964017;0.127258;0.965232;0.000000;0.948156;0.011404;0.062187
16;0.135479;0.964834;0.134486;0.964017;0.131875;0.965232;0.000000;0.948156;0.012571;0.062980
