# dataset: ogbg-molhiv
# type: GraphSAGE
# train_mode: T
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.177664;0.992371;0.040057;1.000000;0.045663;1.000000;0.000000;1.000000;0.039871;0.003402
1;0.017275;1.000000;0.013639;1.000000;0.019808;1.000000;0.000000;1.000000;0.014061;0.000506
2;0.005663;1.000000;0.002100;1.000000;0.012993;1.000000;0.000000;1.000000;0.002813;0.000253
3;0.003004;1.000000;0.001811;1.000000;0.010078;1.000000;0.000000;1.000000;0.002280;0.000670
4;0.002044;1.000000;0.001322;1.000000;0.002749;1.000000;0.000000;1.000000;0.001467;0.000482
5;0.001563;1.000000;0.001410;1.000000;0.001907;1.000000;0.000000;1.000000;0.001722;0.000823
6;0.001400;1.000000;1.358642;0.280331;1.403403;0.337710;0.000000;0.464454;0.523445;0.891404
7;0.001206;1.000000;0.022383;0.993192;0.034098;0.990518;0.000000;0.989792;0.009117;0.017481
8;0.001532;1.000000;0.002191;1.000000;0.003453;1.000000;0.000000;1.000000;0.001433;0.000021
9;0.000997;1.000000;0.001174;1.000000;0.001048;1.000000;0.000000;1.000000;0.000893;0.000052
10;0.001042;1.000000;0.002549;1.000000;0.002325;1.000000;0.000000;1.000000;0.002184;0.000620
11;0.001027;1.000000;0.012127;0.997326;0.016905;0.992463;0.000000;0.992019;0.008208;0.011136
12;0.001025;1.000000;0.043104;1.000000;0.018999;1.000000;0.000000;1.000000;0.019161;0.002792
13;0.001017;1.000000;0.020021;0.991247;0.036040;0.990518;0.000000;0.989792;0.009315;0.017083
14;0.000933;1.000000;0.125367;0.975687;0.134170;0.982495;0.000000;0.979628;0.018984;0.034498
15;0.001365;0.999574;0.001356;1.000000;0.000236;1.000000;0.000000;1.000000;0.000249;0.000000
16;0.000930;1.000000;0.015736;0.990032;0.027258;0.990518;0.000000;0.989792;0.007820;0.016382
