dataset;type;train_mode;test_avg_acc;test_std_acc;AUC;F1;ECE;Brier;num_epochs
MUTAG;GAT;P;0.736842;0.000000;0.641026;0.706594;0.023706;0.404606;18
MUTAG;GAT;T;1.000000;0.000000;1.000000;1.000000;0.000234;0.000000;123
MUTAG;GAT;S;0.736842;0.000000;0.700000;0.625199;0.019197;0.364389;8
MUTAG;GCN;P;0.789474;0.000000;0.897727;0.790643;0.036764;0.346166;19
MUTAG;GCN;T;1.000000;0.000000;1.000000;1.000000;0.000462;0.000000;68
MUTAG;GCN;S;0.947368;0.000000;1.000000;0.947074;0.058790;0.200562;21
MUTAG;GIN;P;1.000000;0.000000;1.000000;1.000000;0.060357;0.181814;34
MUTAG;GIN;T;1.000000;0.000000;1.000000;1.000000;0.000723;0.000001;91
MUTAG;GIN;S;0.894737;0.000000;0.988095;0.890013;0.040815;0.202039;18
MUTAG;GraphSAGE;P;0.842105;0.000000;0.886364;0.833360;0.005738;0.291294;27
MUTAG;GraphSAGE;T;1.000000;0.000000;1.000000;1.000000;0.000471;0.000000;122
MUTAG;GraphSAGE;S;0.894737;0.000000;0.979167;0.894737;0.053697;0.191022;44
MUTAG;GAT;P;0.631579;0.000000;0.839286;0.488964;0.063358;0.405597;10
MUTAG;GAT;T;1.000000;0.000000;1.000000;1.000000;0.001528;0.000006;84
MUTAG;GAT;S;0.842105;0.000000;0.900000;0.801914;0.036492;0.207326;25
MUTAG;GCN;P;0.894737;0.000000;0.916667;0.880482;0.053348;0.184053;35
MUTAG;GCN;T;1.000000;0.000000;1.000000;1.000000;0.000617;0.000001;96
MUTAG;GCN;S;0.842105;0.000000;0.942857;0.846358;0.072905;0.273555;17
MUTAG;GIN;P;0.894737;0.000000;0.974359;0.894737;0.032963;0.157742;51
MUTAG;GIN;T;1.000000;0.000000;1.000000;1.000000;0.001201;0.000003;79
MUTAG;GIN;S;0.736842;0.000000;0.820513;0.745995;0.042486;0.329387;17
MUTAG;GraphSAGE;P;0.789474;0.000000;0.850000;0.760965;0.063102;0.303781;18
MUTAG;GraphSAGE;T;1.000000;0.000000;1.000000;1.000000;0.000807;0.000002;79
MUTAG;GraphSAGE;S;0.789474;0.000000;0.743590;0.750877;0.022595;0.357796;26
MUTAG;GAT;P;0.789474;0.000000;0.885714;0.732456;0.031905;0.254649;39
MUTAG;GAT;T;0.684211;0.000000;1.000000;0.555921;0.002403;0.424634;23
MUTAG;GAT;S;0.789474;0.000000;0.600000;0.732456;0.014363;0.382476;13
MUTAG;GCN;P;0.894737;0.000000;0.943182;0.894737;0.037620;0.214285;32
MUTAG;GCN;T;1.000000;0.000000;1.000000;1.000000;0.001483;0.000009;90
MUTAG;GCN;S;0.947368;0.000000;0.965909;0.947663;0.063846;0.195751;18
MUTAG;GIN;P;0.789474;0.000000;0.814286;0.802005;0.040421;0.282040;29
MUTAG;GIN;T;1.000000;0.000000;1.000000;1.000000;0.000413;0.000000;131
MUTAG;GIN;S;0.736842;0.000000;0.965909;0.701400;0.011499;0.322938;30
MUTAG;GraphSAGE;P;0.842105;0.000000;0.931818;0.840275;0.060317;0.256056;19
MUTAG;GraphSAGE;T;1.000000;0.000000;1.000000;1.000000;0.000795;0.000001;78
MUTAG;GraphSAGE;S;0.631579;0.000000;0.784091;0.611174;0.018344;0.461147;33
MUTAG;GAT;P;0.789474;0.000000;0.842857;0.732456;0.019814;0.330855;28
MUTAG;GAT;T;1.000000;0.000000;1.000000;1.000000;0.002978;0.000018;112
MUTAG;GAT;S;0.842105;0.000000;0.885714;0.815911;0.038520;0.280313;40
MUTAG;GCN;P;0.789474;0.000000;0.886364;0.789474;0.043738;0.260233;44
MUTAG;GCN;T;1.000000;0.000000;1.000000;1.000000;0.000721;0.000001;88
MUTAG;GCN;S;0.842105;0.000000;0.950000;0.854864;0.023243;0.175751;59
MUTAG;GIN;P;0.684211;0.000000;0.821429;0.689593;0.094126;0.404820;29
MUTAG;GIN;T;1.000000;0.000000;1.000000;1.000000;0.001700;0.000006;60
MUTAG;GIN;S;0.894737;0.000000;0.954545;0.894737;0.027083;0.173495;22
MUTAG;GraphSAGE;P;0.842105;0.000000;0.807143;0.815911;0.015829;0.289316;19
MUTAG;GraphSAGE;T;1.000000;0.000000;1.000000;1.000000;0.000307;0.000000;130
MUTAG;GraphSAGE;S;0.684211;0.000000;0.910714;0.597368;0.030290;0.311436;11
MUTAG;GAT;P;0.631579;0.000000;0.806818;0.631579;0.003200;0.478524;24
MUTAG;GAT;T;1.000000;0.000000;1.000000;1.000000;0.002134;0.000009;91
MUTAG;GAT;S;0.421053;0.000000;0.886364;0.249513;0.117494;0.517710;13
MUTAG;GCN;P;0.947368;0.000000;0.983333;0.949385;0.075735;0.120722;67
MUTAG;GCN;T;1.000000;0.000000;1.000000;1.000000;0.008315;0.000144;56
MUTAG;GCN;S;0.842105;0.000000;0.935897;0.837852;0.023933;0.210026;39
MUTAG;GIN;P;0.842105;0.000000;0.909091;0.842990;0.053951;0.306335;50
MUTAG;GIN;T;1.000000;0.000000;1.000000;1.000000;0.000654;0.000001;64
MUTAG;GIN;S;0.947368;0.000000;1.000000;0.948786;0.080761;0.075024;19
MUTAG;GraphSAGE;P;0.631579;0.000000;0.738095;0.601808;0.012469;0.439212;37
MUTAG;GraphSAGE;T;1.000000;0.000000;1.000000;1.000000;0.000245;0.000000;159
MUTAG;GraphSAGE;S;0.631579;0.000000;0.772727;0.532769;0.007591;0.476758;8
MUTAG;GAT;P;0.789474;0.000000;0.828571;0.770175;0.026140;0.272791;34
MUTAG;GAT;T;1.000000;0.000000;1.000000;1.000000;0.010047;0.000236;52
MUTAG;GAT;S;0.684211;0.000000;0.679487;0.555921;0.042570;0.411125;19
MUTAG;GCN;P;0.789474;0.000000;0.766667;0.808367;0.076845;0.288369;61
MUTAG;GCN;T;1.000000;0.000000;1.000000;1.000000;0.001056;0.000003;76
MUTAG;GCN;S;0.842105;0.000000;0.885714;0.836056;0.082617;0.262046;39
MUTAG;GIN;P;0.894737;0.000000;0.948718;0.894737;0.034398;0.181371;21
MUTAG;GIN;T;1.000000;0.000000;1.000000;1.000000;0.000223;0.000000;133
MUTAG;GIN;S;0.842105;0.000000;0.885714;0.815911;0.035033;0.264732;19
MUTAG;GraphSAGE;P;0.789474;0.000000;0.840909;0.783208;0.104876;0.350585;14
MUTAG;GraphSAGE;T;1.000000;0.000000;1.000000;1.000000;0.000711;0.000001;84
MUTAG;GraphSAGE;S;0.842105;0.000000;0.800000;0.833374;0.023517;0.281343;38
MUTAG;GAT;P;0.631579;0.000000;0.784091;0.601678;0.060886;0.448174;20
MUTAG;GAT;T;1.000000;0.000000;1.000000;1.000000;0.002004;0.000010;63
MUTAG;GAT;S;0.842105;0.000000;0.875000;0.769925;0.123216;0.229162;10
MUTAG;GCN;P;0.894737;0.000000;0.988636;0.895322;0.087354;0.209142;9
MUTAG;GCN;T;1.000000;0.000000;1.000000;1.000000;0.001422;0.000006;107
MUTAG;GCN;S;0.842105;0.000000;0.886905;0.844759;0.032265;0.236244;41
MUTAG;GIN;P;0.947368;0.000000;1.000000;0.944458;0.063201;0.111010;24
MUTAG;GIN;T;1.000000;0.000000;1.000000;1.000000;0.000474;0.000000;113
MUTAG;GIN;S;0.789474;0.000000;0.820513;0.750877;0.101659;0.345344;13
MUTAG;GraphSAGE;P;0.894737;0.000000;0.966667;0.880482;0.077845;0.208780;44
MUTAG;GraphSAGE;T;1.000000;0.000000;1.000000;1.000000;0.000513;0.000001;117
MUTAG;GraphSAGE;S;0.842105;0.000000;0.904762;0.829346;0.048388;0.248282;16
MUTAG;GAT;P;0.947368;0.000000;0.966667;0.944458;0.177352;0.232889;19
MUTAG;GAT;T;1.000000;0.000000;1.000000;1.000000;0.000543;0.000001;103
MUTAG;GAT;S;0.684211;0.000000;0.681818;0.623308;0.007826;0.442448;34
MUTAG;GCN;P;0.894737;0.000000;0.950000;0.901504;0.069551;0.122968;36
MUTAG;GCN;T;1.000000;0.000000;1.000000;1.000000;0.001038;0.000002;103
MUTAG;GCN;S;0.789474;0.000000;0.928571;0.762406;0.096780;0.290696;22
MUTAG;GIN;P;1.000000;0.000000;1.000000;1.000000;0.059115;0.041012;21
MUTAG;GIN;T;1.000000;0.000000;1.000000;1.000000;0.000364;0.000000;127
MUTAG;GIN;S;0.894737;0.000000;0.923077;0.894737;0.018543;0.198256;36
MUTAG;GraphSAGE;P;0.842105;0.000000;0.800000;0.815911;0.042867;0.292167;17
MUTAG;GraphSAGE;T;1.000000;0.000000;1.000000;1.000000;0.000594;0.000001;87
MUTAG;GraphSAGE;S;0.736842;0.000000;0.761111;0.721587;0.051509;0.498707;14
MUTAG;GAT;P;0.947368;0.000000;0.967949;0.945951;0.106812;0.186358;39
MUTAG;GAT;T;1.000000;0.000000;1.000000;1.000000;0.002665;0.000021;91
MUTAG;GAT;S;0.631579;0.000000;0.595238;0.488964;0.033175;0.464130;10
MUTAG;GCN;P;0.842105;0.000000;0.916667;0.833374;0.072992;0.218111;34
MUTAG;GCN;T;1.000000;0.000000;1.000000;1.000000;0.000380;0.000000;114
MUTAG;GCN;S;0.842105;0.000000;0.884615;0.847597;0.078618;0.269585;30
MUTAG;GIN;P;0.947368;0.000000;1.000000;0.948340;0.071762;0.144246;23
MUTAG;GIN;T;1.000000;0.000000;1.000000;1.000000;0.000544;0.000001;80
MUTAG;GIN;S;0.736842;0.000000;0.785714;0.684211;0.057508;0.358772;20
MUTAG;GraphSAGE;P;0.894737;0.000000;0.861111;0.894152;0.136401;0.333766;35
MUTAG;GraphSAGE;T;1.000000;0.000000;1.000000;1.000000;0.000770;0.000002;108
MUTAG;GraphSAGE;S;0.578947;0.000000;0.800000;0.470677;0.007380;0.496770;16
MUTAG;GAT;P;0.842105;0.000000;0.974359;0.837852;0.097118;0.253169;22
MUTAG;GAT;T;1.000000;0.000000;1.000000;1.000000;0.000649;0.000001;125
MUTAG;GAT;S;0.842105;0.000000;0.907143;0.815911;0.042889;0.279363;28
MUTAG;GCN;P;0.736842;0.000000;0.728571;0.698381;0.121925;0.344007;11
MUTAG;GCN;T;1.000000;0.000000;1.000000;1.000000;0.000895;0.000002;107
MUTAG;GCN;S;0.842105;0.000000;0.858974;0.847597;0.029873;0.286408;28
MUTAG;GIN;P;0.578947;0.000000;0.784091;0.566416;0.272892;0.432603;12
MUTAG;GIN;T;1.000000;0.000000;1.000000;1.000000;0.002263;0.000013;72
MUTAG;GIN;S;0.789474;0.000000;1.000000;0.696594;0.122719;0.148079;14
MUTAG;GraphSAGE;P;0.684211;0.000000;0.884615;0.555921;0.102015;0.359467;8
MUTAG;GraphSAGE;T;1.000000;0.000000;1.000000;1.000000;0.000241;0.000000;143
MUTAG;GraphSAGE;S;0.894737;0.000000;0.916667;0.871517;0.109041;0.215815;23
PROTEINS;GAT;P;0.705357;0.000000;0.707888;0.692675;0.045369;0.428706;25
PROTEINS;GAT;T;0.535714;0.000000;1.000000;0.373754;0.181726;0.522701;8
PROTEINS;GAT;S;0.723214;0.000000;0.768403;0.723955;0.078286;0.408156;9
PROTEINS;GCN;P;0.741071;0.000000;0.698465;0.732829;0.046736;0.415900;17
PROTEINS;GCN;T;1.000000;0.000000;1.000000;1.000000;0.000072;0.000000;63
PROTEINS;GCN;S;0.732143;0.000000;0.804362;0.733434;0.038255;0.379515;17
PROTEINS;GIN;P;0.714286;0.000000;0.674419;0.712925;0.050385;0.445187;12
PROTEINS;GIN;T;1.000000;0.000000;1.000000;1.000000;0.000399;0.000000;32
PROTEINS;GIN;S;0.741071;0.000000;0.729374;0.733784;0.056953;0.388879;17
PROTEINS;GraphSAGE;P;0.732143;0.000000;0.760563;0.724807;0.075984;0.408292;19
PROTEINS;GraphSAGE;T;1.000000;0.000000;1.000000;1.000000;0.000165;0.000000;42
PROTEINS;GraphSAGE;S;0.794643;0.000000;0.801786;0.781465;0.027585;0.339606;19
PROTEINS;GAT;P;0.660714;0.000000;0.665646;0.623556;0.042493;0.437294;22
PROTEINS;GAT;T;0.767857;0.000000;0.889974;0.744341;0.104983;0.291730;14
PROTEINS;GAT;S;0.732143;0.000000;0.766421;0.737514;0.034018;0.384170;13
